student_id,gender,ethnicity,city,district,school_id,Program ID
6018,M,East Indian,STANN CREEK DISTRICT,STANN CREEK,10,ABMB
6069,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,13,ABMP
6081,F,Mestizo,SAN IGNACIO,Cayo,13,ACHE
6096,F,Mestizo,SAN IGNACIO,Cayo,13,ACMB
6111,M,Creole,Belize City,BELIZE,10,ACMP
6128,M,Other,Belize City,BELIZE,,AINT
6153,M,Garifuna,Belize City,BELIZE,10,AMAB
6191,M,Other,Belize City,BELIZE,,AMAP
6195,M,East Indian,Belize City,BELIZE,12,AMAT
6229,F,Creole,Cayo,BELIZE,27,AMEE
6243,M,Creole,Belmopan City,Cayo,10,ANRM
6260,M,Mestizo,ORANGE WALK,ORANGE WALK,71,AENG
6287,F,Oriental,Belize City,BELIZE,,APRE
6300,F,Creole,CAMALOTE VILLAGE,Cayo,30,AECE
6309,M,Garifuna,Cayo,BELIZE,,ABUS
6316,F,Creole,SANTA ELENA,Cayo,84,ATOS
6321,M,Caucasian,Belmopan City,Cayo,30,AAGR
6332,M,Mestizo,Belmopan City,Cayo,38,AARC
6366,F,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,13,ABCB
6373,M,Mayan,TOLEDO,BELIZE,45,ABCE
6404,M,Mestizo,ORANGE WALK,ORANGE WALK,26,ABCM
6423,M,Creole,Belize City,BELIZE,20,ABIO
6461,F,Creole,Belize City,BELIZE,22,ABMB
6467,M,Creole,Belize City,BELIZE,20,ABMP
6498,M,Mestizo,SAN IGNACIO,Cayo,63,ACHE
6524,F,Creole,ORANGE WALK,ORANGE WALK,33,ACMB
6554,F,Creole,SAN PEDRO TOWN,BELIZE,67,ACMP
6591,M,Mestizo,ORANGE WALK,ORANGE WALK,13,AINT
6599,F,Mestizo,-,STANN CREEK,2,AMAB
6611,F,Mestizo,NULL,NULL,13,AMAP
6623,M,Creole,SANTA ELENA,Cayo,27,AMAT
6666,M,Garifuna,DANGRIGA TOWN,STANN CREEK,25,AMEE
6672,M,Mestizo,-,Cayo,13,ANRM
6674,M,Creole,Belize City,BELIZE,63,AENG
6713,M,Creole,Belize City,BELIZE,40,APRE
6720,M,Oriental,Belmopan City,Cayo,49,AECE
6743,M,Garifuna,DANGRIGA TOWN,STANN CREEK,13,ABUS
6756,M,Creole,Belmopan City,Cayo,30,ATOS
6762,M,Other,Belmopan City,Cayo,30,AAGR
6793,M,Other,Belmopan City,Cayo,13,AARC
6816,M,East Indian,BELMOPAN,Cayo,30,ABCB
6848,M,Mestizo,Belmopan City,Cayo,,ABCE
6853,F,Mestizo,SANTA ELENA,Cayo,27,ABCM
6880,M,Mayan,Belmopan City,Cayo,49,ABIO
6887,F,Garifuna,STANN CREEK,STANN CREEK,36,ABMB
6896,M,Creole,Cayo,BELIZE,30,ABMP
6904,M,Oriental,Belmopan City,Cayo,49,ACHE
6934,M,Creole,JANE USHER AREA,BELIZE,13,ACMB
6960,M,Mayan,Belmopan City,Cayo,72,ACMP
7018,F,East Indian,PUNTA GORDA,TOLEDO,10,AINT
7020,M,Caucasian,Belmopan City,Cayo,49,AMAB
7026,M,Creole,PUNTA GORDA,TOLEDO,13,AMAP
7065,M,Other,Belize City,BELIZE,20,AMAT
7079,M,Garifuna,Belize City,BELIZE,48,AMEE
7090,M,Creole,STANN CREEK DISTRICT,BELIZE,30,ANRM
7096,M,Mestizo,ORANGE WALK,ORANGE WALK,47,AENG
7126,M,Creole,LORDS BANK VILLAGE,BELIZE,22,APRE
7135,M,Mestizo,Belmopan City,Cayo,30,AECE
7186,F,Mestizo,,BELIZE,32,ABUS
7217,F,Mestizo,ORANGE WALK TOWN,ORANGE WALK,33,ATOS
7226,F,Mestizo,SAN IGNACIO,Cayo,27,AAGR
7253,M,Creole,Belmopan City,Cayo,30,AARC
7258,M,Mestizo,Belmopan City,Cayo,13,ABCB
7293,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,32,ABCE
7335,F,Mayan,-,TOLEDO,18,ABCM
7340,M,Mestizo,-,COROZAL,13,ABIO
7407,M,Mestizo,TOLEDO DISTRICT,TOLEDO,18,ABMB
7424,M,Mayan,TOLEDO,TOLEDO,45,ABMP
7430,M,Creole,Belize City,BELIZE,13,ACHE
7439,F,Ketchi,STANN CREEK,STANN CREEK,36,ACMB
7448,M,Creole,Belize City,BELIZE,12,ACMP
7452,F,Creole,Belize City,BELIZE,20,AINT
7457,M,Mayan,PUNTA GORDA,TOLEDO,45,AMAB
7467,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,11,AMAP
7477,M,Other,ORANGE WALK TOWN,ORANGE WALK,58,AMAT
7492,M,Mestizo,BELMOPAN,Cayo,47,AMEE
7505,M,Creole,Belize City,BELIZE,22,ANRM
7512,M,Creole,Belize City,BELIZE,48,AENG
7535,M,Creole,Belmopan City,Cayo,72,APRE
7575,M,Mestizo,LADYVILLE VILLAGE,BELIZE,37,AECE
7581,M,Creole,DANGRIGA TOWN,STANN CREEK,25,ABUS
7631,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,36,ATOS
7662,M,Oriental,Belmopan City,Cayo,13,AAGR
7687,M,Oriental,ORANGE WALK TOWN,ORANGE WALK,13,AARC
7707,M,Creole,SANTA ELENA,Cayo,13,ABCB
7710,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,32,ABCE
7746,F,Mestizo,Belmopan City,Cayo,30,ABCM
7755,F,Mestizo,SAN IGNACIO,Cayo,27,ABIO
7770,M,Oriental,Belmopan City,Cayo,30,ABMB
7800,M,Mestizo,Belize City,BELIZE,37,ABMP
7842,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,27,ACHE
7869,M,Creole,DANGRIGA TOWN,STANN CREEK,25,ACMB
7902,F,Creole,Belmopan City,Cayo,30,ACMP
7914,M,Creole,LADYVILLE VILLAGE,BELIZE,20,AINT
7950,F,Creole,Belize City,BELIZE,48,AMAB
7962,M,Mestizo,Belmopan City,Cayo,30,AMAP
7973,F,Creole,Belmopan City,Cayo,30,AMAT
8005,M,Mestizo,Belmopan City,Cayo,30,AMEE
8013,F,Other,COROZAL TOWN,COROZAL,7,ANRM
8016,M,Mestizo,Belize City,BELIZE,12,AENG
8026,M,Creole,Belize City,BELIZE,42,APRE
8062,F,Creole,Belize City,BELIZE,56,AECE
8067,F,Mestizo,DOUGLAS VILLAGE,ORANGE WALK,2,ABUS
8073,M,Creole,STANN CREEK,STANN CREEK,25,ATOS
8109,F,Creole,STANN CREEK,STANN CREEK,25,AAGR
8147,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,32,AARC
8153,M,Mestizo,Belize City,BELIZE,48,ABCB
8171,M,East Indian,Belmopan City,Cayo,,ABCE
8182,F,Creole,Belize City,BELIZE,10,ABCM
8205,F,Creole,SAN IGNACIO,Cayo,27,ABIO
8221,M,Mestizo,COROZAL,COROZAL,13,ABMB
8234,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,27,ABMP
8241,F,Mestizo,SANTA ELENA,Cayo,,ACHE
8247,M,Mestizo,,ORANGE WALK,26,ACMB
8271,M,Creole,Belize City,BELIZE,48,ACMP
8286,F,Creole,Belize City,BELIZE,48,AINT
8294,M,Creole,Belize City,BELIZE,10,AMAB
8300,F,Mestizo,SAN IGNACIO,Cayo,11,AMAP
8307,F,Mestizo,ORANGE WALK,ORANGE WALK,10,AMAT
8326,F,Mestizo,Belmopan City,Cayo,,AMEE
8339,M,Garifuna,Belmopan City,Cayo,25,ANRM
8375,F,Mestizo,COROZAL,COROZAL,51,AENG
8397,F,Creole,SANTA ELENA,Cayo,32,APRE
8404,M,Creole,Belize City,BELIZE,13,AECE
8420,M,Mestizo,SAN IGNACIO,Cayo,27,ABUS
8428,M,East Indian,TOLEDO,TOLEDO,45,ATOS
8440,F,Mestizo,-,STANN CREEK,79,AAGR
8473,M,Mestizo,Cayo,Cayo,32,AARC
8492,M,Mestizo,BELMOPAN,Cayo,30,ABCB
8521,M,Mestizo,Belmopan City,Cayo,72,ABCE
8554,M,Creole,Belmopan City,Cayo,48,ABCM
8593,M,Mayan,Belize City,BELIZE,13,ABIO
8602,F,Mestizo,SANTA ELENA,Cayo,21,ABMB
8620,M,Creole,Belize City,BELIZE,11,ABMP
8640,M,Creole,-,BELIZE,30,ACHE
8675,M,Mestizo,Belmopan City,Cayo,30,ACMB
8704,M,Creole,Belize City,BELIZE,48,ACMP
8721,M,Mestizo,Belmopan City,Cayo,30,AINT
8751,M,Mestizo,,ORANGE WALK,26,AMAB
8780,F,Creole,Belmopan City,Cayo,30,AMAP
8789,M,Oriental,LADYVILLE VILLAGE,BELIZE,63,AMAT
8792,M,Mayan,PUNTA GORDA TOWN,TOLEDO,45,AMEE
8804,M,Creole,-,STANN CREEK,25,ANRM
8834,M,Other,Belmopan City,Cayo,,AENG
8858,M,Mestizo,Belmopan City,Cayo,30,APRE
8884,M,Creole,Belize City,BELIZE,20,AECE
8921,M,Creole,-,BELIZE,37,ABUS
8942,M,Mestizo,-,Cayo,32,ATOS
8989,M,Creole,,Cayo,66,AAGR
9015,M,Creole,Belmopan City,Cayo,30,AARC
9021,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,33,ABCB
9047,M,Mestizo,STANN CREEK DISTRICT,BELIZE,25,ABCE
9076,M,Oriental,Belmopan City,Cayo,,ABCM
9093,M,Creole,Belize City,BELIZE,,ABIO
9123,M,Mestizo,Belmopan City,Cayo,13,ABMB
9126,M,Mestizo,Belize City,BELIZE,49,ABMP
9140,F,Creole,Belize City,BELIZE,17,ACHE
9152,M,Mestizo,SAN IGNACIO,Cayo,27,ACMB
9181,M,Creole,Belize City,BELIZE,40,ACMP
9202,F,Oriental,Belmopan City,Cayo,,AINT
9230,M,Creole,,Cayo,30,AMAB
9237,M,Mestizo,Belmopan City,Cayo,30,AMAP
9244,M,Mestizo,Belmopan City,Cayo,30,AMAT
9289,M,Garifuna,Belmopan City,Cayo,49,AMEE
9299,M,Mayan,ROARING CREEK VILLAGE,Cayo,30,ANRM
9318,F,Mestizo,-,Cayo,27,AENG
9331,M,Creole,Belmopan City,Cayo,30,APRE
9355,M,Creole,Belize City,BELIZE,45,AECE
9367,M,Garifuna,DANGRIGA TOWN,STANN CREEK,,ABUS
9396,F,Mestizo,,STANN CREEK,36,ATOS
9406,F,Creole,Belmopan City,Cayo,30,
9431,F,Mayan,PUNTA GORDA,TOLEDO,45,AAGR
9433,M,Mestizo,,BELIZE,,AARC
9458,M,Creole,Belize City,BELIZE,36,ABCB
9464,F,Mestizo,Belmopan City,Cayo,30,ABCE
9490,M,Mayan,Belmopan City,Cayo,30,ABCM
9504,M,Creole,Belmopan City,Cayo,30,ABIO
9510,M,Mestizo,Belize City,BELIZE,10,ABMB
9532,M,Mestizo,Belize City,BELIZE,10,ABMP
9548,M,Mestizo,Belmopan City,Cayo,66,ACHE
9567,M,Creole,Belmopan City,Cayo,,ACMB
9590,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,32,ACMP
9613,M,Mestizo,-,Cayo,66,AINT
9649,M,Creole,BELMOPAN,Cayo,49,AMAB
9683,M,Mestizo,Cayo,BELIZE,32,AMAP
9719,M,Mestizo,,Cayo,13,AMAT
9751,M,Creole,ORANGE WALK,BELIZE,9,AMEE
9760,M,Mestizo,SAN IGNACIO,Cayo,11,ANRM
9764,M,Creole,Belmopan City,Cayo,66,AENG
9772,M,Creole,BURRELL BOOM VILLAGE,BELIZE,10,APRE
9779,F,Mayan,,TOLEDO,18,AECE
9791,F,Mayan,Belmopan City,Cayo,18,ABUS
9822,F,Mayan,,TOLEDO,18,ATOS
9828,M,Creole,Belmopan City,Cayo,30,AAGR
9834,M,Other,Belmopan City,BELIZE,13,AARC
9838,M,Mestizo,Belmopan City,Cayo,85,ABCB
9851,M,Creole,BELMOPAN,Cayo,61,ABCE
9876,F,Creole,SAN IGNACIO,Cayo,21,ABCM
9888,M,Mayan,,STANN CREEK,36,ABIO
9916,M,Creole,-,STANN CREEK,13,ABMB
9939,M,Creole,CAMALOTE VILLAGE,Cayo,49,ABMP
9942,M,Creole,Belize City,BELIZE,40,ACHE
9965,F,Creole,Belize City,BELIZE,22,ACMB
9970,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,27,ACMP
10001,M,Creole,Belize City,BELIZE,20,AINT
10004,M,Garifuna,DANGRIGA TOWN,STANN CREEK,25,AMAB
10013,M,Creole,ROARING CREEK VILLAGE,Cayo,,AMAP
10018,M,Creole,BELMOPAN,Cayo,45,AMAT
10034,M,Mestizo,Belmopan City,Cayo,30,AMEE
10074,M,Garifuna,DANGRIGA TOWN,STANN CREEK,44,ANRM
10086,M,Creole,Belize City,BELIZE,40,AENG
10114,M,Garifuna,DANGRIGA TOWN,STANN CREEK,44,APRE
10145,F,Creole,HATTIEVILLE VILLAGE,BELIZE,48,AECE
10156,M,Mestizo,Santa Elena Town,Cayo,13,ABUS
10173,F,Creole,Belize City,BELIZE,42,ATOS
10182,M,Mayan,BENQUE VIEJO DEL CARMEN,Cayo,32,AAGR
10208,M,Mestizo,ORANGE WALK,ORANGE WALK,26,AARC
10239,M,Mayan,Belmopan City,Cayo,30,ABCB
10266,M,Creole,Belize City,BELIZE,40,ABCE
10275,M,Caucasian,SAN IGNACIO,Cayo,,ABCM
10293,M,Creole,Belize City,BELIZE,47,ABIO
10306,M,Creole,Belmopan City,Cayo,30,ABMB
10321,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,32,ABMP
10347,M,Creole,DANGRIGA TOWN,STANN CREEK,25,ACHE
10375,M,Creole,Belmopan City,Cayo,66,ACMB
10382,F,Other,Belize City,BELIZE,48,ACMP
10415,M,Mestizo,SAN IGNACIO TOWN,Cayo,13,AINT
10427,F,Mestizo,Belmopan City,Cayo,66,AMAB
10437,M,Mestizo,Belmopan City,Cayo,27,AMAP
10446,M,Creole,Belmopan City,Cayo,30,AMAT
10471,M,Creole,Belmopan City,Cayo,,AMEE
10500,M,Mestizo,Belize City,BELIZE,28,ANRM
10506,F,East Indian,BELIZE DISTRICT,BELIZE,10,AENG
10533,F,Creole,Belize City,BELIZE,10,APRE
10542,M,Mestizo,Belmopan City,Cayo,,AECE
10565,M,Creole,CAMALOTE VILLAGE,Cayo,13,ABUS
10568,M,Creole,Belmopan City,Cayo,30,ATOS
10591,M,Creole,Belmopan City,Cayo,13,AAGR
10601,M,Mestizo,Belmopan City,Cayo,13,AARC
10609,F,Creole,ROARING CREEK VILLAGE,Cayo,13,ABCB
10614,M,Oriental,Belmopan City,Cayo,13,ABCE
10627,M,Mestizo,SANTA ELENA,Cayo,26,ABCM
10646,M,Other,Belize City,BELIZE,,ABIO
10653,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,,ABMB
10669,M,Creole,-,Cayo,32,ABMP
10677,M,East Indian,INDIANVILLE,TOLEDO,,ACHE
10697,F,Garifuna,ROARING CREEK VILLAGE,Cayo,30,ACMB
10715,M,Garifuna,DANGRIGA TOWN,STANN CREEK,44,ACMP
10720,M,Creole,Belmopan City,Cayo,30,AINT
10731,M,Mestizo,DANGRIGA TOWN,STANN CREEK,25,AMAB
10734,M,Creole,,Cayo,,AMAP
10762,M,Creole,Belize City,BELIZE,48,AMAT
10773,F,Creole,Belize City,BELIZE,20,AMEE
10785,M,Mestizo,-,ORANGE WALK,13,ANRM
10788,M,Creole,Belize City,BELIZE,13,AENG
10793,F,Mestizo,Belmopan City,Cayo,29,APRE
10801,M,Mestizo,DANGRIGA TOWN,STANN CREEK,25,AECE
10807,M,Oriental,Belmopan City,Cayo,30,ABUS
10832,M,Mestizo,ORANGE WALK DISTRICT,BELIZE,,ATOS
10840,M,Mestizo,Cayo,BELIZE,32,AAGR
10859,M,Creole,Belize City,BELIZE,20,AARC
10863,F,Mestizo,Belmopan City,Cayo,30,ABCB
10870,M,Mestizo,Belize City,BELIZE,40,ABCE
10889,M,Mestizo,-,COROZAL,28,ABCM
10901,M,Mestizo,Santa Elena Town,Cayo,27,ABIO
10914,M,Creole,Belize City,BELIZE,63,ABMB
10925,F,Mestizo,SAN PEDRO TOWN,BELIZE,39,ABMP
10955,M,Creole,ORANGE WALK TOWN,ORANGE WALK,20,ACHE
10958,F,Mestizo,Belmopan City,Cayo,30,ACMB
10971,M,Creole,PUNTA GORDA,TOLEDO,45,ACMP
10977,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,27,AINT
10983,F,Creole,Belmopan City,Cayo,17,AMAB
11004,F,Creole,Belmopan City,Cayo,66,AMAP
11029,F,Oriental,Belmopan City,Cayo,72,AMAT
11054,M,East Indian,SANTA ELENA,Cayo,,AMEE
11082,M,Mestizo,SAN NARCISO VILLAGE,COROZAL,28,ANRM
11096,M,Mestizo,SAN ANTONIO VILLAGE,Cayo,27,AENG
11107,M,Mestizo,SAN LAZARO VILLAGE,ORANGE WALK,26,APRE
11132,F,Mestizo,ORANGE WALK TOWN,ORANGE WALK,26,AECE
11138,M,Oriental,Belmopan City,Cayo,30,ABUS
11164,M,Mestizo,Belmopan City,Cayo,30,ATOS
11169,M,Mestizo,INDEPENDENCE VILLAGE,STANN CREEK,36,AAGR
11191,F,Creole,-,Cayo,86,AARC
11198,F,Mestizo,ORANGE WALK TOWN,ORANGE WALK,33,ABCB
11224,M,Oriental,Belmopan City,Cayo,40,ABCE
11250,M,Mestizo,Belize City,BELIZE,48,ABCM
11277,F,East Indian,SANDHILL VILLAGE,BELIZE,10,ABIO
11301,M,East Indian,Belize City,BELIZE,10,ABMB
11319,M,Other,Belmopan City,Cayo,,ABMP
11344,M,Creole,BURRELL BOOM VILLAGE,BELIZE,,ACHE
11353,M,Mestizo,Belmopan City,Cayo,30,ACMB
11356,M,Creole,Belize City,BELIZE,20,ACMP
11371,M,East Indian,Belize City,BELIZE,20,AINT
11378,M,Garifuna,Belmopan City,Cayo,66,AMAB
11404,M,Creole,BELMOPAN,Cayo,,AMAP
11423,M,Oriental,Belmopan City,Cayo,25,AMAT
11449,F,Mestizo,Belize City,BELIZE,,AMEE
11462,M,Creole,BELMOPAN,Cayo,,ANRM
11468,M,Creole,ROARING CREEK VILLAGE,Cayo,13,AENG
11471,M,Mayan,-,STANN CREEK,13,APRE
11506,M,Creole,PUNTA GORDA TOWN,TOLEDO,45,AECE
11517,M,Mayan,PUNTA GORDA,TOLEDO,45,ABUS
11521,M,Mestizo,Belmopan City,Cayo,27,ATOS
11551,M,Mayan,Belmopan City,Cayo,49,AAGR
11564,M,East Indian,,Cayo,27,AARC
11580,M,Garifuna,STANN CREEK,STANN CREEK,21,ABCB
11618,M,Creole,Belmopan City,Cayo,66,ABCE
11654,M,Mayan,Cayo,BELIZE,30,ABCM
11688,F,Mayan,BENQUE VIEJO TOWN,Cayo,45,ABIO
11692,M,Creole,Belize City,BELIZE,22,ABMB
11702,M,Unknown,Belize City,BELIZE,20,ABMP
11725,M,Caucasian,Belmopan City,Cayo,72,ACHE
11743,M,Unknown,Belmopan City,Cayo,30,ACMB
11750,M,Caucasian,Belmopan City,Cayo,51,ACMP
11753,M,Garifuna,DANGRIGA TOWN,STANN CREEK,25,AINT
11782,M,Ketchi,BELMOPAN,Cayo,66,AMAB
11822,M,Mestizo,STANN CREEK DISTRICT,STANN CREEK,36,AMAP
11828,M,Mestizo,Belmopan City,Cayo,66,AMAT
11854,F,Garifuna,BELMOPAN,Cayo,30,AMEE
11886,F,Mestizo,VALLEY OF PEACE,Cayo,30,ANRM
11891,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,38,AENG
11900,M,Mestizo,Belize City,BELIZE,10,APRE
11908,M,Mestizo,SANTA FAMILIA VILLAGE,Cayo,32,AECE
11930,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,32,ABUS
11964,M,Mestizo,Cayo,BELIZE,27,ATOS
11989,F,Mestizo,SANTA ELENA,Cayo,27,AAGR
11995,M,Unknown,BURRELL BOOM VILLAGE,BELIZE,61,AARC
12009,F,Mestizo,Belize City,BELIZE,56,ABCB
12021,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,32,ABCE
12041,M,Mayan,TOLEDO DISTICT,TOLEDO,45,ABCM
12064,M,Creole,Belmopan City,Cayo,66,ABIO
12069,F,Mestizo,SANTA ELENA,Cayo,50,ABMB
12112,M,Mestizo,ORANGE WALK DISTRICT,ORANGE WALK,73,ABMP
12118,F,Creole,Belize City,BELIZE,40,ACHE
12132,F,Mayan,Belmopan City,Cayo,49,ACMB
12173,M,Creole,Belmopan City,Cayo,66,ACMP
